,headline,entity,majority_label
47,Biden downplays New Hampshire expectations after repeatedly vowing to win,Biden,neg
48,"Biden abruptly cancels New Hampshire primary party appearance, heads to South Carolina",Biden,neutr
49,Pete Buttigieg looks to ride Iowa success to victory in New Hampshire,Buttigieg,pos
50,Stealing the spotlight: Lisa Boothe praises President Trump's 'smart' campaign rally strategy,Trump,pos
51,Amy Klobuchar makes last-minute push for independent voters in New Hampshire,Klobuchar,pos
52,"After impeachment acquittal, Senate confirms another Trump court pick over Dem objections",Trump,neg
53,Sen. Lindsey Graham says President Trump can run on a record that Democrats can't refute,Trump,pos
54,Republican Bill Weld explains why he is running against President Trump,Trump,neg
55,Trump stirs pardon speculation with condemnation of DOJ’s Roger Stone treatment,Trump,neutr
56,Peter Doocy recounts tough exchanges with Joe Biden on the campaign trail,Biden,neutr
57,"Dr. Jill Biden discusses life on the campaign trail, responding to political attacks",Biden,neutr
58,Sen. Rick Scott explains why he hopes Bernie Sanders wins the Democratic presidential nomination,Sanders,pos
59,Gov. Hutchinson on Trump's Governors' Ball,Trump,neutr
60,"Trump, Klobuchar see strong showing in New Hampshire's midnight voting towns",Trump,pos
61,2020 hopeful Pete Buttigieg claims to be the 'moderate' choice for New Hampshire,Buttigieg,neg
62,Trump digging into Democrats ahead of New Hampshire primary,Trump,unk
63,"Trump, looking to 'shake up the Dems a little bit,' hits 'mumbling' Pelosi in rally ahead of key NH primary",Trump,neutr
64,Trump cuts New Hampshire rally short to receive remains of 2 soldiers killed in Afghanistan,Trump,pos
65,AG Barr accepts Hunter Biden information from Rudy Giuliani,Biden,neutr
66,Melania Trump urges governors' spouses to spread 'Be Best' initiative in home states,Trump,pos
67,Sean Hannity attends Joe Biden rally in New Hampshire,Biden,neutr
68,How could Bloomberg shake up the 2020 race?,Bloomberg,neutr
69,Trump calls out Nancy Pelosi for mumbling behind him during State of the Union,Trump,neg
70,Buttigieg campaign official: We need a candidate who's not polarizing,Buttigieg,pos
71,"Biden campaign adviser on New Hampshire: Whatever happens, Biden will still be in this race",Biden,pos
72,Democracy 2020 Digest: Klobuchar sees an opening - Can she take it?,Klobuchar,neutr
73,Sanders holds lead as Klobuchar surges ahead of New Hampshire primary,Klobuchar,neutr
74,Senator Amy Klobuchar: We need a president with empathy,Klobuchar,neutr
75,Trump unveils $4.8 trillion election year budget,Trump,neutr
76,Polls show Buttigieg trailing Sanders in New Hampshire,Sanders,neutr
77,Lieberman: I hope Bernie Sanders is not the Democratic nominee,Sanders,neg
78,Will Bernie Sanders see a repeat of his 2016 win in New Hampshire?,Sanders,neutr
79,"Sanders, Buttigieg campaigns file for recanvass of 85 Iowa precincts",Buttigieg,neutr
80,Howard Kurtz on divergent media strategies of Pete Buttigieg and Joe Biden,Biden,neutr
81,Sanders overtakes Biden in national poll for first time,Biden,neg
82,"Trump supporters, lining up for post-impeachment rally, predict big 2020 win: ‘He’ll beat them all’",Trump,pos
83,Media boosting Buttigieg,Buttigieg,pos
84,"GOP operative says Democratic frontrunners Sanders, Buttigieg is 'dream scenario' for President Trump",Buttigieg,neg
85,"Sanders in lead, Buttigieg slipping, Klobuchar surging in New Hampshire poll on primary eve",Klobuchar,neutr
86,Pete Buttigieg praised Bernie Sanders in prize-winning high school essay,Buttigieg,neutr
87,Where does Tom Steyer stand on the issues?,Steyer,neutr
88,Bernie Sanders and Pete Buttigieg spar ahead of New Hampshire primary,Sanders,neutr
89,"Rep. Devin Nunes warns Democrats may be concocting new Trump hoax, says Vindman's NSC ouster is long overdue",Trump,neg
90,Self-made billionaire weighs in on Bernie Sanders' proposed wealth-tax,Sanders,neutr
91,Marc Lotter: Pelosi ripping speech was disrespectful to President Trump and the American people,Trump,neg
92,Are Biden and Warren's campaigns over if they don't do well in New Hampshire?,Biden,neg
93,Trump plans to ask Congress for $2B in border wall construction,Trump,neutr
94,"Biden, in New Hampshire, jokingly calls student 'a lying, dog-faced pony soldier'",Biden,pos
95,Constitutional law expert says Trump didn't receive due process during 'strictly partisan' impeachment inquiry,Trump,neutr
96,"Iowa Democratic Party awards Buttigieg 14 delegates, Sanders 12 after caucus meltdown",Buttigieg,pos
97,President Trump fires major impeachment figures Colonel Vindman and Ambassador Sondland,Trump,neg
98,Biden calls New Hampshire voter a 'lying dog-faced pony solider' when asked about his performance in the Iowa caucus,Biden,neg
99,Latest New Hampshire polls show Bernie Sanders leading Pete Buttigieg,Sanders,neutr
100,"Biden admits Buttigieg, Sanders were 'better organized' in Iowa, his campaign took 'gut punch'",Sanders,neutr
101,Rep. Collins on likelihood that Democrats could continue investigating President Trump and Ukraine,Trump,neg
102,Biden claims to be ahead in support with African American community,Biden,neg
103,Giuliani: Trump should 100 percent investigate Biden after Senate acquittal,Trump,pos
104,Bloomberg uses Romney’s impeachment vote speech to bash Trump in new ad,Bloomberg,neg
105,Warren remains optimistic despite financial woes: ‘I’ve been winning unwinnable fights my whole life’,Warren,pos
106,Furor over Trump firing witnesses,Trump,neg
107,"With primary two days out, Sanders leads followed by Buttigieg in latest polls in NH",Sanders,neutr
108,Biden zings Buttigieg: 'This guy's not a Barack Obama',Biden,neg
109,Sanders: 'Common sense suggests' Buttigieg would be compromised by wealthy donors,Sanders,neutr
110,"Sen. Bernie Sanders on boost from Iowa caucuses, tight race for New Hampshire, 'Democratic-socialist' label",Sanders,pos
111,"Rep. Tulsi Gabbard on feud with Hillary Clinton, Iowa caucus chaos",Gabbard,neg
112,Kellyanne Conway reacts to President Trump's acquittal at Senate impeachment trial,Trump,neutr
113,"Rudy Giuliani on Trump's big week, investigating Hunter Biden",Trump,neutr
114,Brutal Biden campaign ad mocks Buttigieg’s experience as South Bend mayor,Biden,neg
115,Biden zings Buttigieg: 'This guy's not a Barack Obama',Buttigieg,neg
116,What the SOTU revealed about Trump's future agenda and reelection strategy,Trump,neutr
117,Sanders maintains narrow lead in New Hampshire as candidates make closing arguments,Sanders,pos
118,"Trump, RNC cash in on impeachment, raising $117M more in funds",Trump,neg
119,President Trump to release his fiscal 2021 budget,Trump,neutr
120,"President Trump touts economy, trade deals",Trump,pos
121,Rep. Andy Biggs on calls from Democrats to continue investigating President Trump,Trump,neutr
122,"Dems demand Twitter, Facebook take down edited video of Pelosi ripping up State of the Union speech posted by Trump",Trump,neutr
123,Rep. Tulsi Gabbard on importance of New Hampshire primary,Gabbard,neutr
124,"John Sununu: Klobuchar did the best in the debate, she looked more presidential than anyone on stage",Klobuchar,pos
125,2020 Democrats blast Sanders over ‘socialist’ label,Sanders,neg
126,Pelosi claims Trump ‘inherited’ economic momentum,Trump,neg
127,Sanders with edge in two new polls in NH Buttigieg edges Sanders in a third,Buttigieg,neutr
128,Pete Buttigieg discusses his debate performance,Buttigieg,neutr
129,Amy Klobuchar talks to Fox News after the Democratic debate,Klobuchar,neutr
130,Warren appears to target Buttigieg as she slams people who 'suck up to billionaires',Warren,neg
131,Senate investigators obtain Hunter Biden's confidential banking records,Biden,neutr
132,Biden says he would not have ordered drone strike that killed Soleimani,Biden,pos
133,Yang tells Dem rivals: 'Donald Trump is the not the cause of all of our problems',Yang,neutr
134,"Biden to Trump: Give Vindman, not Rush Limbaugh, a medal",Biden,neutr
135,Joe Biden looks to rally in New Hampshire primary following disappointing Iowa caucus results,Biden,neutr
136,Biden campaign adviser: Joe Biden is the greatest retail politician in America,Biden,pos
137,"Trump ousts key impeachment figures Sondland, Vindman days after Senate acquittal",Trump,neutr
138,"Pete Buttigieg, Bernie Sanders say they want to move past the Iowa caucuses",Buttigieg,neg
139,Joe Biden retreats home before New Hampshire debate,Biden,neutr
140,GOP senators accuse Dems of 'selectively leaking' Hunter Biden investigation details,Biden,neg
141,Cuomo to sue Trump administration over banning New Yorkers from ‘trusted traveler’ programs,Trump,unk
142,"Warren appears to agree with supporter that AIPAC is an 'unholy alliance' of 'Islamophobes,' 'white nationalists'",Warren,neutr
143,Bernie Sanders blasts Pete Buttigieg's support from 'billionaire donors',Sanders,pos
144,"Mainstream media slam Trump post-acquittal speech as 'vindictive,' 'mean-spirited' and 'disturbing'",Trump,neg
145,Buttigieg surges in New Hampshire poll ahead of primary,Buttigieg,neutr
146,"Appeals court hands Trump win, rules Dem lawmakers cannot sue over business payments",Trump,pos
147,"Iowa caucus results too close to call as Sanders, Buttigieg finish in virtual tie",Sanders,neutr
148,"Trump hits Pelosi, Romney on impeachment at National Prayer Breakfast",Trump,neg
149,"Mike Huckabee on Trump and Pelosi clashing after acquittal, Iowa caucus fallout",Trump,neutr
150,"Pastor Robert Jeffress reacts to Trump ripping Romney, Pelosi for 'phony' faith remarks",Trump,neutr
151,Trump Impeachment 2.0: Historic fight spurs new probes and clashes even after trial,Trump,neg
152,Will Republicans move to expunge Trump's impeachment if they win back the House?,Trump,neutr
153,"Iowa Dems release '100 percent' of caucus vote totals showing Buttigieg ahead, amid calls for recanvass",Buttigieg,unk
154,Trump claims he was saved by firing former FBI director Comey,Trump,neg
155,Left claims Trump's State of the Union address was racist,Trump,neg
156,Pete Buttigieg says Trump has 'very different take on faith' than he does after comments at prayer breakfast,Buttigieg,neutr
157,Sen. Mazie Hirono says Trump 'wasn't acquitted' because he had a 'rigged' impeachment trial,Trump,neg
158,"Warren, in apology, cites America's 'long legacy' of 'racism and oppression' after women of color quit Nevada campaign",Warren,neutr
159,"Sanders declares victory in Iowa, says he can 'defeat the most dangerous president in modern American history'",Sanders,pos
160,Elizabeth Warren apologizes after 6 women of color quit her Nevada campaign,Warren,pos
161,Kellyanne Conway on Trump's impeachment trial victory,Trump,pos
162,"Trump allies Jordan, Meadows selected for top House GOP committee roles",Trump,neutr
163,Congressional Democrats mull continuing investigations of President Trump,Trump,neutr
164,Bernie Sanders declares victory in chaotic Iowa caucuses,Sanders,neutr
165,"Senate acquits Trump on abuse of power, obstruction of Congress charges",Trump,neutr
166,Andrew Yang lays off staffers after poor showing in Iowa,Yang,neutr
167,Dem-controlled House votes to kill GOP resolution condemning Pelosi for ripping up Trump's speech,Trump,neutr
168,Sen. Martha McSally on whether Senate will investigate Hunter Biden following Trump's impeachment acquittal,Trump,neutr
169,Sen. Bob Casey says President Trump's claim that he did nothing wrong is insulting to the country,Trump,neg
170,Bret Baier on President Trump taking victory lap after acquittal in Senate impeachment trial,Trump,pos
171,"Sanders, Warren campaigns pay to offset almost 4,000 tons in carbon emissions: report",Sanders,neutr
172,Trump claims he wouldn't be 'standing here' if he hadn't fired 'sleazebag' Comey,Trump,neg
173,Biden's poor Iowa showing dramatically ups the stakes in New Hampshire,Biden,neg
174,John Yoo warns Democrats that renewing impeachment charges against President Trump would be a mistake,Trump,neutr
175,"President Trump breaks with tradition, slams opponents at National Prayer Breakfast",Trump,neg
176,Newt Gingrich says the Iowa caucuses process is rigged against Bernie Sanders,Sanders,neg
177,President Trump: We come together as one nation blessed to live in freedom and worship in peace,Trump,pos
178,"Buttigieg soars, Biden slips, Sanders still on top in newest New Hampshire poll",Biden,neg
179,Buttigieg narrowly leads Sanders in Iowa caucuses with 97% of precincts reporting,Sanders,neutr
180,What’s the fallout following President Trump’s acquittal?,Trump,neutr
181,"Michael Goodwin: Trump won, Pelosi lost, it’s a real acquittal",Trump,pos
182,"Trump proudly displays 'Acquitted' headlines, mere feet from Pelosi at prayer breakfast",Trump,pos
183,President Trump attends 68th annual National Prayer Breakfast,Trump,neutr
184,Newt Gingrich on President Trump acquitted by Senate,Trump,pos
185,Ex-Ukraine ambassador sounds off after Trump acquittal: 'I have seen dictatorships',Trump,neg
186,"Trump supporters flood hotline for Iowa precinct chairs, adding to the confusion: report",Trump,unk
187,Trump acquitted in impeachment trial after fiery State of the Union speech,Trump,neutr
188,Warren says male candidates 'wrong' if they think they have a better chance of beating Trump,Trump,neg
189,Pelosi facing backlash for ripping up Trump speech,Trump,neg
190,Republicans seek Hunter Biden travel records from Secret Service shortly after Trump acquittal,Trump,neutr
191,Sen. Kennedy calls Pelosi 'over the top' and 'juvenile' for tearing up copy of Trump's speech,Trump,neg
192,"Manchin, swing-state senators swarmed with Dem hugs after voting to convict Trump",Trump,neg
193,GOP introduces resolution to condemn Pelosi for ripping up Trump’s State of the Union speech,Trump,neutr
194,Biden heads to South Carolina before New Hampshire polls close,Biden,neutr
195,Pete Buttigieg speculates that Trump 'can't figure out what to do' with him,Trump,neg
196,2020 Democrats attack Trump in final pitch to New Hampshire voters,Trump,neg
197,Trump: I'd rather run against Bloomberg than Bernie Sanders,Trump,neg
198,Joe Biden takes aim at Pete Buttigieg after 'gut punch' in Iowa,Buttigieg,neutr
199,Pete Buttigieg holds slim lead in Iowa caucuses following partial release of results,Buttigieg,neutr
200,"White House claims 'full vindication' after Trump acquittal, slams Romney as 'failed' candidate",Trump,neutr
201,Trial over: Trump acquitted by Senate on both impeachment articles in historic decision,Trump,pos
202,Fallout from Nancy Pelosi's decision to shred her copy of President Trump's State of the Union address,Trump,neutr
203,"Trump’s brawling style is about projecting strength, no matter the cost",Trump,neg
204,"Trump easily beats impeachment, Romney vote stirs backlash",Trump,pos
205,Source of Bloomberg stop-and-frisk audio blasts CNN for 'dismissing' story,Bloomberg,neutr
206,Meet the New Hampshire voter who made $12G from Andrew Yang's 'Freedom Dividend',Yang,neutr
207,Biden leaves New Hampshire early for South Carolina,Biden,neutr
208,"Sanders Won, Klobuchar Surged: What We Learned From New Hampshire",Klobuchar,neutr
209,How Amy Klobuchar Pulled Off the Big Surprise of the New Hampshire Primary,Klobuchar,pos
210,"For Joe Biden, Two Bad Losses and a Precarious Path Forward",Biden,neg
211,Sanders Is Victorious in New Hampshire Primary,Sanders,pos
212,"‘You May See Me Once Again,’ Bennet Says",Bennet,neutr
213,Trump Takes On Bloomberg and Once Again Hijacks a News Cycle,Trump,neutr
214,Michael Bennet Drops Out of the 2020 Presidential Race,Bennet,neutr
215,Trump Adviser Pushes Utah Congressman for Top Intelligence Post,Trump,neutr
216,"Democrats Get the Attention, but Trump Aims to Put New Hampshire in Play",Trump,neutr
217,"The Federal Budget Under Trump, Per Person",Trump,neutr
218,A Rare Trump-Era Climate Policy Hits an Obstacle: The Tax Man,Trump,neg
219,Trump Travels to New Hampshire to Rally Republicans and Distract Democrats,Trump,neutr
220,Some Experts Worry as a Germ-Phobic Trump Confronts a Growing Epidemic,Trump,neg
221,Trump Budget Calls for New Nuclear Warheads and 2 Types of Missiles,Trump,neutr
222,Trump Budget Would Fray Social Safety Net,Trump,unk
223,Trump’s $4.8 Trillion Budget Would Cut Safety Net Programs and Boost Defense,Trump,neutr
224,"Sanders and Buttigieg Clash, Aiming for a Two-Person Race",Buttigieg,neg
225,Trump to Propose $4.8 Trillion Budget With More Border Wall Funding,Trump,neutr
226,Iowa Democrats Give Buttigieg the Most Delegates as Sanders Team Seeks Recanvass,Sanders,neutr
227,Biden Slashes Into Buttigieg: ‘This Guy’s Not a Barack Obama!’,Biden,neg
228,Trump Has Reshaped the Judiciary. Here’s How the 2020 Democrats Would Address That.,Trump,neutr
229,Republican Senators Tried to Stop Trump From Firing Impeachment Witness,Trump,neg
230,Jeff Sessions Was ‘Trump Before Trump.’ Will Alabama Voters Remember?,Trump,neutr
231,Biden Tells Voters to Look to the Past. (Just Not the Last Week.),Biden,neutr
232,Joe Biden Attacks Bernie Sanders’s Record on Guns,Sanders,neg
233,"Victors in Iowa, Sanders and Buttigieg Are Targets in Democratic Debate",Sanders,pos
234,Amy Klobuchar Compares ‘Cool Newcomer’ Pete Buttigieg to Trump,Trump,neutr
235,The Latest New Hampshire Polls: Buttigieg Looks Competitive,Buttigieg,pos
236,Trump Fires Impeachment Witnesses Gordon Sondland and Alexander Vindman in Post-Acquittal Purge,Trump,neg
237,Joe Walsh Ends Presidential Campaign Against Trump,Trump,neutr
238,What It Was Like to Work for Andrew Yang,Yang,neutr
239,"Democratic Candidates Reject Trump’s Foreign Policy, but Don’t Agree on Theirs",Trump,neg
240,Navy Secretary Richard Spencer Says He’ll Endorse Bloomberg,Bloomberg,pos
241,Tom Steyer - Foreign Policy,Steyer,neutr
242,Deval Patrick - Foreign Policy,Patrick,neutr
243,Bernie Sanders - Foreign Policy,Sanders,neutr
244,Elizabeth Warren - Foreign Policy,Warren,neutr
245,Michael Bennet - Foreign Policy,Bennet,neutr
246,"Democrats, Knocked Back by Trump’s Acquittal, Ponder Their Next Steps",Trump,neutr
247,"After Acquittal, Trump Repeats Inaccurate Claims on Impeachment and Ukraine",Trump,neg
248,What Are Iowa’s Satellite Caucuses? And How Did They Help Bernie Sanders?,Sanders,neutr
249,Republicans in Senate Press On With Investigation Into Hunter Biden,Biden,neg
250,"Trump Celebrates Acquittal, and Denounces Democrats as ‘Vicious’",Trump,pos
251,Pelosi Rebukes Trump for Prayer Breakfast Remarks,Trump,neutr
252,Trump Hails Acquittal and Lashes Out at His ‘Evil’ and ‘Corrupt’ Opponents,Trump,neg
253,Full Video: Trump Speaks After Impeachment Acquittal,Trump,neutr
254,"Sanders Raises $25 Million in January, a Huge Show of Financial Strength",Sanders,neutr
255,Trump Gives Venezuela’s Guaidó the Embrace He Wanted,Trump,neutr
256,Draft Executive Order Would Give Trump a New Target: Modern Design,Trump,neutr
257,Trump Called for Paid Family Leave. Here’s Why Few Democrats Clapped.,Trump,neutr
258,Senate Votes to Acquit President Trump,Trump,pos
259,Trump Acquitted of Two Impeachment Charges in Near Party-Line Vote,Trump,pos
260,What Went Wrong for Joe Biden in Iowa,Biden,neg
261,The Trump Fans Who Think Impeachment Was ‘Exactly’ What His Base Needed,Trump,unk
262,A Full Guide to the Trump Impeachment Trial Vote,Trump,neg
263,Full Transcript of Trump's State of The Union Address,Trump,neutr
264,Six Takeaways From Trump’s State of the Union Address,Trump,neutr
265,Trump Claims End of ‘American Decline’ While Avoiding Mention of Impeachment,Trump,neg
266,Trump’s State of the Union Speech Continues a Theme: Courting Black Voters,Trump,pos
267,Pelosi Rips Up Trump’s Speech,Trump,neg
268,"Trump and Pelosi: Snubs, Then a Torn-Up Speech",Trump,neutr
269,Full Analysis of Trump's 2020 State of the Union Speech,Trump,neutr
270,"Thailand, Coronavirus, Trump: Your Monday Briefing",Trump,neutr
271,New York to Sue Trump Administration Over Global Entry Freeze,Trump,neg
272,"Putin Rejects Oil Deal With Belarus, Increasing Pressure for Merger",Putin,neutr
273,"Nigeria ‘Blindsided’ by Trump Travel Ban, Its Top Diplomat Says",Trump,neg
274,Trump Warns Senate Not to Approve War Powers Resolution on Iran,Trump,neg
275,"Klobuchar's Dark-Horse Campaign Gets Fundraising Boost, but New Tests Await",Klobuchar,pos
276,Buttigieg Faces New Urgency in Bid to Win Minority Voters,Buttigieg,neutr
277,Trump and Kushner Saw Super Bowl Ad as Way of Making Inroads With Black Voters,Trump,neutr
278,Trump Says He Is In for Debates and Wants to Honor Rush Limbaugh,Trump,pos
279,AP VoteCast: Iowa Dems Split on Best Challenger for Trump,Trump,neutr
280,"Sans Gavel, Roberts Is Among 4 Justices at Trump Speech",Trump,neutr
281,"White House Excludes CNN From Trump Session, With No Protest",Trump,neg
282,Trump Uses State of Union to Campaign Pelosi Rips Up Speech,Trump,neutr
283,Hunting Conference With Beach Boys and Trump Jr. Draws Protests,Trump,neg
284,Hunting Conference With Beach Boys and Trump Jr. Draws Protests,Trump,neg
285,Guests Help Trump Highlight State of the Union Themes,Trump,neutr
286,Bloomberg Doubles Ad Spending After Chaos of Iowa Caucuses,Bloomberg,neutr
287,Trump Says Prosecutors ‘Ought to Apologize’ to Roger Stone,Trump,neutr
288,"Klobuchar's Dark-Horse Campaign Gets Fundraising Boost, but New Tests Await",Klobuchar,neutr
289,New York Governor Signals Possible Compromise With Trump in Immigration Dispute,Trump,neutr
290,Moderate Democrats Fear Bernie Sanders Could Cost Them the House,Sanders,neg
291,"Deval Patrick, Latecomer to the 2020 Race, Drops Out",Patrick,neg
292,Lawmakers Want Ivanka Trump's Women's Program to Become Law,Trump,pos
293,U.S. Presidential Candidate Bloomberg Endorsed by Three Black Lawmakers,Bloomberg,pos
294,Buttigieg Lands Black South Carolina Lawmaker's Endorsement,Buttigieg,neutr
295,Charges Dropped Against Guard Accused of Threatening Trump,Trump,neutr
296,Sanders Narrowly Beats Buttigieg in New Hampshire Democratic Primary as Biden Lags Badly,Buttigieg,neg
297,"After New Hampshire Surge, Klobuchar Turns to Nevada, Beyond",Klobuchar,neutr
298,Bernie Sanders Scores Narrow Victory in New Hampshire Primary,Sanders,pos
299,Former Massachusetts Governor Patrick to End 2020 Presidential Bid: CBS,Patrick,neutr
300,Trump’s War Against ‘the Deep State’ Enters a New Stage,Trump,pos
301,Senator Bennet Drops Out of 2020 Democratic Presidential Race,Bennet,neg
302,Trump Takes On Bloomberg and Once Again Hijacks a News Cycle,Trump,pos
303,Michael Bennet Drops Out of the 2020 Presidential Race,Bennet,neg
304,"Exit Polls: Sanders, Buttigieg, Klobuchar Locked in Tight Race for New Hampshire",Sanders,pos
305,Andrew Yang Drops Out of Presidential Race,Yang,neutr
306,Trump Adviser Pushes Utah Congressman for Top Intelligence Post,Trump,neg
307,"Responding to Critics, Bloomberg Omits Role in Expanding Stop-and-Frisk",Bloomberg,neutr
308,Steyer's Wife Moves to S. Carolina for Rest of 2020 Campaign,Steyer,neutr
309,"AP VoteCast: NH Democrats Angry, Seek Alternative to Trump",Trump,unk
310,U.S. Justice Department Declines to Offer Court Sentencing Guidance on Trump Adviser Stone,Trump,neutr
311,Amy Klobuchar Is Pressed on ‘The View’ Over Her Record as a Prosecutor,Klobuchar,neutr
312,"Elizabeth Warren, in New Memo, Outlines Her Path and Rivals’ Flaws",Warren,neutr
313,Warren Betting That Getting Personal Can Help Her Rebound,Warren,neg
314,Trump and Bloomberg Call Each Other Racist as 2020 Election Fight Heats Up,Bloomberg,neg
315,Bloomberg’s Blunt Defense of Stop-and-Frisk Policy Draws Scrutiny,Bloomberg,neg
316,Klobuchar Surge in New Hampshire Could Reshuffle Democratic White House Race,Klobuchar,pos
317,Steyer's Wife Moves to S. Carolina for Rest of 2020 Campaign,Steyer,neutr
318,"Angry With Trump, Most New Hampshire Democratic Primary Voters Will Back Party's Nominee 'Regardless': Edison Research",Trump,neg
319,Report Says Man Who Drove Into GOP Tent Didn't Like Trump,Trump,neg
320,U.S. Justice Department Declines to Offer Court Sentencing Guidance on Trump Adviser Stone,Trump,neutr
321,"Democrats Get the Attention, but Trump Aims to Put New Hampshire in Play",Trump,neutr
322,Amy Klobuchar Is Pressed on ‘The View’ Over Her Record as a Prosecutor,Klobuchar,neg
323,"Elizabeth Warren, in New Memo, Outlines Her Path and Rivals’ Flaws",Warren,pos
324,Lawmakers Want Ivanka Trump's Women's Program to Become Law,Trump,neutr
325,"U.S. Election: Klobuchar Up, Three Men Out",Klobuchar,neutr
326,"Trump, First Lady to Host State Dinner in April for Spain",Trump,neutr
327,Bloomberg Embraces Stop and Frisk in Resurfaced 2015 Audio,Bloomberg,neutr
328,Bloomberg’s Blunt Defense of Stop-and-Frisk Policy Draws Scrutiny,Bloomberg,neutr
329,"The Latest: Top Nevada Union Warns About Sanders, Warren",Sanders,neg
330,Biden Heading to South Carolina Sanders Steady as New Hampshire Votes,Sanders,neutr
331,Klobuchar Surge in New Hampshire Could Reshuffle Democratic White House Race,Klobuchar,pos
332,"Sanders Edges Buttigieg in NH, Giving Dems 2 Front-Runners",Sanders,neutr
333,Oil From Federal Lands Tops 1B Barrels as Trump Eases Rules,Trump,pos
334,Biden Shows Tenderness and Temper on 2020 Presidential Trail,Biden,pos
335,Trump Says Call for 7-9 Years Prison Term for Adviser Stone Is 'Horrible',Trump,neutr
336,Trump Campaigns as a 2nd Amendment Warrior,Trump,neutr
337,"Sanders Narrowly Wins New Hampshire Democratic Primary, Biden Lags Badly",Biden,neg
338,Trump Travels to New Hampshire to Rally Republicans and Distract Democrats,Trump,pos
339,Some Experts Worry as a Germ-Phobic Trump Confronts a Growing Epidemic,Trump,neg
340,"Biden Braces for a Rough New Hampshire Vote, Setting Expectations Low",Biden,neg
341,Trump Budget Would Fray Social Safety Net,Trump,unk
