Sno,Date,Headline,Covid,Sentiment,Description,Image,Source
10,2020-04-30,"22 new cases of COVID-19 in Karnataka, total crosses 550",1,0,"Karnataka has reported 22 new cases of coronavirus in less than 24 hours, taking the total number of cases in the state to 557, the state government has said. Over 220 coronavirus patients have been discharged from hospitals, while 21 patients have passed away. On Tuesday, the Karnataka government had allowed economic activities to restart in 'green zones'.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588233153745_257.jpg,https://www.financialexpress.com/lifestyle/health/coronavirus-in-india-live-updates-lockdown-extension-guidelines-covid-19-tracker-latest-news-state-wise-delhi-maharashtra-up/1943824/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
11,2020-04-30,Sanitation worker donates 1 month's salary to Telangana CM Relief Fund,1,1,"A sanitation worker, A Alivelu, in Telangana's Hyderabad, donated her one month's salary of ₹10,000 to CM Relief Fund on Tuesday. She handed over the cheque to IT Minister KT Rama Rao who tweeted and said Alivelu didn't want anything in return and insisted him to accept the donation. Alivelu's husband is a daily wage labourer at a vegetable market.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588233838026_253.jpg,https://www.newindianexpress.com/states/telangana/2020/apr/29/sanitation-worker-donates-rs-10000-to-telangana-cm-relief-fund-2136675.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
12,2020-04-30,4 more traders in Delhi's Azadpur Mandi test coronavirus positive,1,0,"As many as four more traders from Delhi's Azadpur Mandi have tested positive for coronavirus, according to authorities. The total number of traders associated with the Mandi to be infected by coronavirus now stands at 15, an Azadpur Mandi official said. So far, more than 3,400 COVID-19 cases have been recorded in the national capital.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588228483309_120.jpg,https://twitter.com/ANI/status/1255723715091816449?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
13,2020-04-30,Karnataka converts state transport bus into Mobile Fever Clinic,1,1,"Karnataka State Road Transport Corporation (KSRTC) converted one of its buses into a Mobile Fever Clinic in Mangaluru amid COVID-19 pandemic. The move has been taken to ensure sufficient availability of basic medical facilities for people across the state. The facilities in the bus include a bed, seating facility, medicine box, washbasin, sanitizer, separate water facility, among other things.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588218252578_227.jpg,https://www.aninews.in/news/national/general-news/covid-19-ksrtc-converts-bus-into-mobile-fever-clinic20200430055313/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
14,2020-04-30,US praises India for lifting export restrictions on critical medical supplies,1,1,"US Secretary of State Mike Pompeo on Wednesday praised India for lifting export bans on critical medical supplies including pharmaceuticals used to treat COVID-19 patients. He said it was an example of working together with partner countries to tackle the challenges posed by the coronavirus pandemic. In the US, over 10,39,900 Americans have been infected by the coronavirus.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588219461682_218.jpg,https://www.financialexpress.com/india-news/mike-pompeo-praises-india-for-lifting-export-restrictions-on-critical-medical-supplies/1943704/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15,2020-04-30,"10 test +ve in Haryana's Jhajjar district, 9 had travelled to Delhi",1,0,"Ten fresh cases of coronavirus have been reported in Haryana's Jhajjar district, taking the total number of cases in the district to 18, Chief Medical Officer Dr Randeep Puniya stated. Among the fresh cases, nine are vegetable vendors who have a history of travelling to Delhi and one is a nurse at a hospital. Haryana has over 300 COVID-19 cases. ",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588221440189_308.jpg,https://www.financialexpress.com/lifestyle/health/coronavirus-in-india-live-updates-lockdown-extension-guidelines-covid-19-tracker-latest-news-state-wise-delhi-maharashtra-up/1943824/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
16,2020-04-30,"86 new COVID-19 cases reported in Rajasthan, total cases in state now 2,524",1,0,"The Rajasthan Health Department said that 86 new COVID-19 cases were recorded in the state till Thursday morning, taking the total number of cases there to 2,524. The state has also reported two coronavirus-related deaths from Jaipur. The health department added that 827 patients in Rajasthan have recovered from COVID-19 till date.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588221398103_172.jpg,https://twitter.com/ANI/status/1255711458232430593?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
17,2020-04-30,"71 new COVID-19 cases in Andhra, total infections cross 1,400",1,0,"As many as 71 coronavirus cases have been reported in Andhra Pradesh in the last 24 hours, taking the total in the state to 1,403, the state government has said. It stated that 321 COVID-19 patients have been discharged and there have been 31 deaths in the state so far. It added, ""No death reported in the last 24 hours.""",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588231179039_96.jpg,https://zeenews.india.com/india/live-updates/coronavirus-india-covid-19-live-updates-april-30-2280060?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
18,2020-04-30,SC refuses to stay government's Central Vista project in Delhi,0,0,"The Supreme Court has refused to stay the ₹20,000-crore Central Vista project for a new parliament and government offices in Lutyens' zone in New Delhi. Chief Justice of India SA Bobde said, ""A similar petition is pending and there is no need to duplicate it."" The petitioner had claimed the project will deprive the public of enjoying open spaces.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588234342904_754.jpg,https://twitter.com/ANI/status/1255761914682105856?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
19,2020-04-29,"Man burnt alive, 7 houses and temple gutted in fire in HP village",0,0,"A 35-year-old man was burnt alive while two persons sustained injuries after at least seven houses and a temple were gutted in a fire that broke out in a village in Chirgaon in Himachal Pradesh's Shimla district on Wednesday. District administration said that a relief of ₹10,000 was provided to the deceased's family while those injured were given ₹5,000 each.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588179226474_730.jpg,https://covid-positive-news.herokuapp.com
20,2020-04-30,"India needs ₹65,000 cr to help the poor, it isn't much: Rajan tells Rahul Gandhi",0,1,"In a conversation with Congress MP Rahul Gandhi, former RBI Governor Raghuram Rajan said India needs to spend ₹65,000 crore to help the poor during the pandemic. ""Our GDP is ₹200 lakh crore, out of that ₹65,000 crore isn't that much. We can do it. If it is to save lives of the poor, it must be done,"" Rajan added.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588232427179_441.jpg,https://www.deccanherald.com/business/india-needs-rs-65000-cr-to-help-the-poor-tide-over-lockdown-raghuram-rajan-to-rahul-gandhi-831703.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
21,2020-04-30,Man stabbed to death by 4 in Delhi over high price of chicken: Police,0,0,"A 35-year-old, Shiraz, was stabbed to death allegedly by four people in Delhi's Jahangirpuri area after an argument over the price of chicken. An argument broke between the accused, Shah Alam and his three brothers, and Shiraz when he quoted the price of the chicken he was selling. The accused allegedly attacked Shiraz with knife and iron rods, police said.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588223947687_257.jpg,https://www.timesnownews.com/mirror-now/crime/article/man-stabbed-to-death-over-high-price-of-chicken-in-north-west-delhi/584958?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
22,2020-04-30,"3 on COVID-19 duty held for killing, burning rat snake in Chennai",1,0,"Three temporary staff members of the Chennai corporation, who were involved in carrying out a COVID-19 census in Villivakkam, were detained by forest department officials on Wednesday for allegedly killing and burning a non-venomous rat snake. The snake had entered a house and the had residents sought the help of the three men who beat the snake to death.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588228570864_354.jpg,https://www.newindianexpress.com/states/tamil-nadu/2020/apr/29/three-chennai-corporation-staff-on-covid-19-duty-held-for-killing-and-burning-rat-snake-2136935.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
23,2020-04-30,IIT Jammu develops face-shield for police on trial basis,1,1,"IIT Jammu has developed a face-shield that will be handed over to the police for trial amid the COVID-19 pandemic. Stating that 3D printers were used for the production of prototypes, IIT Jammu Director Dr MS Gaur said, ""This design can also be produced on a mass scale."" Earlier, IIT Delhi's COVID-19 testing method was approved by the ICMR. ",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588217039077_643.jpg,https://twitter.com/ANI/status/1255611107038781441?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
24,2020-04-29,"81 coronavirus patients recover in Gautam Buddha Nagar, active cases now 56",1,1,"Gautam Buddha Nagar District Magistrate Suhas LY has tweeted that 91 coronavirus results came out in the district today, out of which 88 tested negative, while three tested positive. The total number of cured patients has risen to 81, he added, while the total number of active cases is 56. ""Fight goes on with extreme caution,"" he added.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588160479306_143.jpg,https://twitter.com/dmgbnagar/status/1255458660127563776?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
25,2020-04-29,"Colleges to reopen for old students from Aug 1, for new students from Sept 1: UGC",1,1,"The UGC today said that the 2020-21 academic session will commence for old students from August 1, while it will commence from September 1 for new students. It added that states where coronavirus situation has normalised, the pending exams will be held in July. It further said extension of six months will be granted to MPhil and PhD students.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588173226338_446.jpg,https://twitter.com/TimesNow/status/1255507208097484804?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
26,2020-04-29,"Govt allows inter-state movement of stranded migrant workers, students",1,1,"The government on Wednesday allowed inter-state movement of migrant workers, pilgrims, tourists, students and other persons stranded at different places amid the lockdown. The sending and receiving states must mutually agree to the movement of group of stranded persons by road, the order stated. Further, the persons will be screened and those found asymptomatic would be allowed to proceed.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588163665615_884.jpg,https://twitter.com/ANI/status/1255469467083124738?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
27,2020-04-29,"Several districts to get considerable relaxations from May 4, guidelines soon: Govt",1,1,"The government on Wednesday said that many districts will get considerable relaxations from May 4, adding that new guidelines will be communicated in the days to come. ""There have been tremendous gains and improvement in the situation due to lockdown till now,"" the Ministry of Home Affairs added. It further said current guidelines should be strictly observed till May 3.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588175610755_312.jpg,https://twitter.com/PIBHomeAffairs/status/1255518759969861632?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
28,2020-04-29,"Coronavirus cases rise to 2,162 in Tamil Nadu; 1,210 patients discharged",1,0,"Tamil Nadu on Wednesday reported 104 new coronavirus cases, taking the total number of cases in the state to 2,162. As many as 1,210 patients have been cured and discharged in Tamil Nadu till today, while 27 people have lost their lives to COVID-19. There are 922 active cases in the state.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588174941395_260.jpg,https://twitter.com/pibchennai/status/1255492468340068355?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
29,2020-04-29,Maharashtra reports 32 coronavirus deaths and 597 new cases today,1,0,"As many as 32 deaths due to coronavirus and 597 confirmed cases of the virus were reported in Maharashtra today. The total number of cases in the worst-hit state has risen to 9,915, while the death toll has surged to 432. As many as 1,593 coronavirus patients have recovered in the state so far.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588178170024_529.jpg,https://twitter.com/ANI/status/1255518217725857792?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
30,2020-04-29,Uttar Pradesh reports 81 new coronavirus cases; total 510 patients recover,1,0,"Uttar Pradesh reported 81 new coronavirus cases on Wednesday, taking the total number of cases in the state to 2,134, as per figures provided by the state government. The total number of patients who've recovered and have been discharged from hospital rose to 510 after 47 recoveries were reported today. The death toll in UP from coronavirus stands at 39.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588178904187_907.jpg,https://twitter.com/ANINewsUP/status/1255510619874304002?s=20&utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
31,2020-04-29,"Coronavirus cases cross 4,000 in Gujarat, death toll rises to 197",1,0,"The total number of coronavirus cases in Gujarat has risen to 4,082 after 308 new infections were reported, the state health department said on Wednesday. The state recorded 16 new deaths, taking the death toll to 197, the department added. Of the new cases, 234 were reported in Ahmedabad, taking the district's total to 2,777 including 137 deaths. ",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588177427046_101.jpg,https://twitter.com/ANI/status/1255516260038610944?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
32,2020-04-29,"Lockdown to continue in Punjab for 2 weeks, relaxation from 7 am to 11 am daily",1,1,Punjab CM Captain Amarinder Singh on Wednesday announced that the lockdown and curfew will continue in the state for two weeks. He added that people will be allowed to come out of their houses from 7 am to 11 am daily and the shops will remain open during that time. He further advised everyone to follow social distancing norms.,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588157742482_217.jpg,https://twitter.com/PTI_News/status/1255444259441979396?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
33,2020-04-29,"425 COVID-19 cases in Agra district, 69 recover",1,0,"As many as 21 new coronavirus cases have been reported in Agra district, taking the total number of cases to 425, Agra District Magistrate Prabhu N Singh has stated. The death toll in the district stands at 11, while 69 patients have been discharged from hospitals. Notably, Uttar Pradesh has 2,053 coronavirus cases. ",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588150401025_553.jpg,https://twitter.com/ANINewsUP/status/1255404560862019585?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
34,2020-04-29,Swiggy delivery executive tests positive for coronavirus in Chennai,1,0,"A delivery executive who works with food delivery app Swiggy in Tamil Nadu's Chennai has tested positive for the coronavirus. He has been isolated and is undergoing treatment while his brother and five other family members have all tested negative for the virus, Swiggy said. ""The delivery partner was immediately quarantined as soon as the incident was discovered,"" Swiggy added. ",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588170795810_586.jpg,https://www.thenewsminute.com/article/food-delivery-executive-chennai-gets-covid-19-family-members-test-negative-123582?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
35,2020-04-29,"0.3% COVID-19 patients in India on ventilator, 2.34% in ICU; total cases now 31,787",1,0,"Health Minister Harsh Vardhan today said that 0.33% coronavirus patients in India are on ventilators, 1.5% patients are on oxygen support and 2.34% are in ICU. The total number of coronavirus cases in India has risen to 31,787, while the death toll has surged to 1,008. As many as 7,797 patients in India have been cured, discharged or migrated.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588162682717_242.jpg,https://www.mohfw.gov.in/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
36,2020-04-29,"12 new COVID-19 cases in Bihar's Buxar, state total reaches 378",1,0,"Twelve more people have tested positive for coronavirus in Buxar, taking the total number of cases to 378 in Bihar, State Principal Secretary (Health) Sanjay Kumar has stated. At least two coronavirus patients in the state have passed away. Recently, Bihar launched a helpline number for students stranded elsewhere in the country amid the lockdown.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588154403466_13.jpg,https://zeenews.india.com/india/live-updates/india-coronavirus-covid-19-live-updates-april-29-12-new-cases-in-buxar-take-bihars-total-count-to-378-2279839?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
37,2020-04-29,Hyderabad police celebrates toddler's 1st birthday as her parents are in US,0,1,"The Hyderabad police celebrated the first birthday of a one-year-old girl named Myra after her parents, who are in the US, made the request. Hyderabad Police Commissioner Anjani Kumar, along with other police officials, visited her grandparents' house with balloons and a stuffed toy. Myra could not travel to the US to be with her parents due to the lockdown. ",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588154950257_838.jpg,https://twitter.com/ANI/status/1255417032448901122?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
38,2020-04-29,JNU to teach 'Leadership Lessons from Ramayana',0,1,"Jawaharlal Nehru University will hold online classes on 'Leadership Lessons from Ramayana' on May 2 and 3 from 4 pm to 6 pm. These sessions will be conducted through a webinar by the varsity's School of Sanskrit and Indic Studies and School of Language, Literature and Culture Studies faculty members. The webinar will be available for JNU's students and faculty.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588159616068_185.jpg,https://covid-positive-news.herokuapp.com
39,2020-04-29,"11 traders at Delhi's Azadpur Mandi test COVID-19 +ve, shops sealed",1,0,"Eleven traders associated with Delhi's Azadpur Mandi, Asia's largest wholesale market for fruits and vegetables, have tested positive for coronavirus, District Magistrate (North) Deepak Shinde said. He said that these traders are not directly connected to the mandi. Delhi Health Minister Satyendar Jain said that all the nearby shops, where coronavirus cases were reported, have been sealed.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588152304574_679.jpg,https://zeenews.india.com/india/11-traders-at-delhis-azadpur-mandi-test-positive-for-coronavirus-covid-19-many-shops-sealed-2279884.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
40,2020-04-29,WB asked doctors to not write COVID-19 in patients' death certificates: Adhir,1,1,"Congress leader Adhir Ranjan Chowdhury on Wednesday said that doctors in Murshidabad Medical College and Hospital in West Bengal have been advised that there should not be any mention of COVID-19 in the death certificate of a coronavirus patient. He said, ""This proves that the complaints and accusation we have been putting on West Bengal government are true.""",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588179985689_380.jpg,https://zeenews.india.com/india/coronavirus-patients-dying-in-west-bengal-not-classified-as-covid-19-deaths-under-cm-mamata-banerjees-order-alleges-congress-adhir-ranjan-chowdhury-2279991.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
41,2020-04-29,Aarogya Setu app now mandatory for all central govt employees,1,1,"The Ministry of Personnel, Public Grievances and Pensions on Wednesday made it compulsory for all central government employees to download the government's COVID-19 app 'Aarogya Setu'. All employees have been told to check their status on the app before leaving for work. ""Commute only when the app shows 'safe' or 'low risk' status,"" the employees have been told. ",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588159262951_855.jpg,https://www.financialexpress.com/india-news/coronavirus-aarogya-setu-app-mandatory-for-all-central-govt-employees-staff-to-check-status-before-coming-to-office/1943208/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
42,2020-04-29,"Delhi to treat mild, asymptomatic COVID-19 patients at home for 14 days",1,1,"Delhi Health Minister Satyendar Jain has stated that coronavirus patients who are asymptomatic or have mild symptoms will be kept under home quarantine for 14 days and will be treated at their homes. Jain added, ""There is no need to hospitalise such patients."" Delhi has over 3,300 cases of coronavirus.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588151769152_393.jpg,https://www.financialexpress.com/lifestyle/health/coronavirus-india-live-updates-state-district-wise-case-count-lockdown-extension-latest-news-death-toll-covid-19-tracker/1941661/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
43,2020-04-29,"AMU hospital hid facts about COVID-19 patients, it became hub: Aligarh BJP MLA",1,0,"Aligarh BJP MLA Dalveer Singh has said that doctors of Jawaharlal Nehru Medical College (JNMC), which is associated with the AMU, hid facts about coronavirus patients at the hospital from the administration and now ""it has become a corona hub"". He said, ""Not a single case of corona was reported in the city earlier due to strict implementation of lockdown.""",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588156341807_197.jpg,https://zeenews.india.com/india/aligarh-bjp-mla-accuses-jnmc-hospital-of-spreading-coronavirus-covid-19-2279908.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
44,2020-04-29,Newborn baby girl found abandoned on roadside in Noida amid lockdown,1,0,A newborn baby girl was found abandoned on the side of the road in Uttar Pradesh's Noida on Tuesday. Police said that the passersby heard the cries of the baby girl and called them up. Police have claimed that someone took advantage of the lockdown situation in the area and left the baby on the side of the road.,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588156626398_863.jpg,https://zeenews.india.com/india/new-born-baby-found-abandoned-in-noida-amid-coronavirus-covid-19-lockdown-2279840.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
45,2020-04-29,NEET does not violate minority rights: Supreme Court,0,0,"National Eligibility cum Entrance Test (NEET) doesn't violate the rights of minorities under the Constitution, said Supreme Court on Wednesday. ""The regulatory measures by prescribing NEET is to bring the education within the realm of charity which character it has lost. It intends to weed out evils from the system and various malpractices, which decayed the system,"" said the court.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588163828852_285.jpg,https://covid-positive-news.herokuapp.com
